gene	hsa04664	hsa04620	hsa04150	hsa04110	hsa04115	hsa04621	hsa04912	hsa04510	hsa04622	hsa04350	hsa04310	hsa04370	hsa04910	hsa04514	hsa04010	hsa04060	hsa04210	hsa04920	hsa04012	hsa04330	hsa04660	hsa04512	hsa04662	hsa04062	hsa04340	hsa04020	hsa04070	hsa03320	hsa04630
10000	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1
100137049	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10451	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
123745	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1432	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1437	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
207	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1
208	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1
2205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23533	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
2534	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
26279	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27040	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2885	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1
30814	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3265	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0
3562	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
3565	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
3567	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
3596	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
3635	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
3845	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0
391013	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3937	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4067	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
4893	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0
50487	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5290	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
5291	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
5293	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
5294	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
5295	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
5296	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1
5319	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5320	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5321	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5322	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5335	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0
5336	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0
5578	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0
5579	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0
5580	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
