gene	pvalue
10332	5.38e-62
55576	4.19e-59
51266	1.55e-58
9547	3.2e-58
8685	8.34e-58
339390	8.97e-58
168667	3.96e-57
2220	3.83e-55
1621	5.71e-55
170392	6.42e-54
56000	2.02e-52
8547	7.74e-52
1393	1.81e-51
6368	4.95e-51
7433	1.07e-50
10584	1.22e-50
5745	1.86e-50
1893	1.56e-49
2823	1.21e-48
11318	1.45e-48
55143	2.44e-48
131873	2.96e-48
64399	3.11e-48
11093	3.78e-48
5816	8.83e-48
170685	1.27e-47
54443	1.71e-47
147372	2.25e-47
9227	3.3e-47
4751	6.79e-47
3977	8.22e-47
9833	1.13e-46
5199	1.7e-46
11065	4.46e-46
7153	6.09e-46
259266	8.39e-46
113130	1.23e-45
9172	1.29e-45
1033	1.37e-45
1063	1.53e-45
9055	2.81e-45
29089	3.09e-45
2305	6.69e-45
1058	9.11e-45
10164	1.14e-44
55214	1.65e-44
2658	2.55e-44
83854	3.45e-44
3161	5.37e-44
653	5.42e-44
220134	6.34e-44
29127	8.48e-44
51316	8.79e-44
143425	1.06e-43
4908	1.42e-43
9133	1.77e-43
10112	1.95e-43
146909	1.96e-43
332	3.32e-43
65010	3.61e-43
25891	4.3e-43
84870	7.71e-43
6915	1.01e-42
9232	1.91e-42
9787	3e-42
83461	3.24e-42
995	3.49e-42
55872	4.41e-42
1949	7.35e-42
116154	8e-42
83540	1.31e-41
4684	1.43e-41
387103	2.32e-41
140876	2.98e-41
79722	3.51e-41
54674	3.64e-41
9630	6.84e-41
399563	6.9e-41
27115	1.25e-40
64151	1.34e-40
891	1.66e-40
147841	2.68e-40
54511	2.73e-40
55355	3.99e-40
221150	6.27e-40
577	1.04e-39
1602	1.29e-39
699	1.33e-39
51203	1.91e-39
10486	1.95e-39
4499	2.34e-39
9156	2.93e-39
10894	3.09e-39
7272	3.65e-39
390	4.01e-39
9071	7.56e-39
79733	8.56e-39
56924	8.7e-39
55600	8.84e-39
7980	9.97e-39
1894	1.01e-38
24137	1.07e-38
6425	1.16e-38
701	1.19e-38
890	1.19e-38
84189	1.48e-38
6241	1.52e-38
1071	1.77e-38
9378	1.93e-38
81610	1.94e-38
645745	2.71e-38
400258	4.78e-38
55010	5.13e-38
150468	6.83e-38
57405	7.11e-38
6491	8.16e-38
2146	1.16e-37
10403	1.2e-37
84620	1.78e-37
6523	1.92e-37
983	2.24e-37
11082	2.92e-37
83876	3.6e-37
3833	4.58e-37
6790	4.92e-37
8406	5.74e-37
4288	6.28e-37
9638	6.56e-37
1951	7.45e-37
10712	8.56e-37
284618	1.03e-36
51514	1.08e-36
3832	1.14e-36
63941	1.71e-36
54993	1.77e-36
10721	2.05e-36
4436	2.05e-36
28513	2.18e-36
9319	2.69e-36
991	3.48e-36
219623	3.69e-36
4498	3.78e-36
5577	4.56e-36
140851	5.1e-36
54908	6.82e-36
400550	7.08e-36
90957	7.91e-36
55165	8.09e-36
30845	8.4e-36
284013	1.21e-35
2491	1.27e-35
81930	1.3e-35
11130	1.35e-35
23397	1.53e-35
9348	1.79e-35
200095	2.11e-35
646576	2.64e-35
10635	2.89e-35
11022	2.95e-35
10990	3.16e-35
54892	3.29e-35
157313	4.53e-35
9768	5.01e-35
5888	5.97e-35
56992	6.25e-35
2224	6.31e-35
3781	8.76e-35
10535	9.84e-35
151246	1.06e-34
23428	1.6e-34
22974	2.15e-34
1062	2.35e-34
57817	2.9e-34
9212	2.94e-34
89822	3.75e-34
4886	4.31e-34
84057	4.33e-34
55723	4.79e-34
1776	5.27e-34
114132	6.15e-34
143941	6.8e-34
2015	6.97e-34
84735	8.47e-34
29951	8.58e-34
9580	9.87e-34
79885	1.06e-33
84106	1.09e-33
4496	1.21e-33
64651	1.34e-33
10024	1.44e-33
2213	1.54e-33
1031	1.58e-33
51751	1.69e-33
26586	2.13e-33
151648	2.18e-33
59349	2.3e-33
29102	2.51e-33
219527	2.52e-33
7203	2.54e-33
9493	2.7e-33
5648	2.87e-33
151	2.96e-33
375444	3.03e-33
83483	3.07e-33
8318	3.67e-33
91057	4.38e-33
3483	4.42e-33
9869	5.16e-33
57393	5.16e-33
9928	5.3e-33
55215	5.52e-33
59277	6.31e-33
4500	6.97e-33
353514	8.55e-33
4085	9.82e-33
146956	1.04e-32
5279	1.06e-32
10293	1.1e-32
347240	1.13e-32
